,category_type,industry_code,name
0,sw_l1,801740.SL,国防军工I
1,sw_l1,801020.SL,采掘I
2,sw_l1,801110.SL,家用电器I
3,sw_l1,801160.SL,公用事业I
4,sw_l1,801770.SL,通信I
5,sw_l1,801010.SL,农林牧渔I
6,sw_l1,801120.SL,食品饮料I
7,sw_l1,801750.SL,计算机I
8,sw_l1,801050.SL,有色金属I
9,sw_l1,801890.SL,机械设备I
10,sw_l1,801170.SL,交通运输I
11,sw_l1,801710.SL,建筑材料I
12,sw_l1,801780.SL,银行I
13,sw_l1,801040.SL,钢铁I
14,sw_l1,801130.SL,纺织服装I
15,sw_l1,801880.SL,汽车I
16,sw_l1,801180.SL,房地产I
17,sw_l1,801230.SL,综合I
18,sw_l1,801760.SL,传媒I
19,sw_l1,801200.SL,商业贸易I
20,sw_l1,801140.SL,轻工制造I
21,sw_l1,801720.SL,建筑装饰I
22,sw_l1,801080.SL,电子I
23,sw_l1,801790.SL,非银金融I
24,sw_l1,801030.SL,化工I
25,sw_l1,801210.SL,休闲服务I
26,sw_l1,801730.SL,电气设备I
27,sw_l1,801150.SL,医药生物I
