,category_type,symbol,industry_code,industry_name
0,sw_l1,601375.XSHG,801790,非银金融I
1,sw_l1,002407.XSHE,801030,化工I
2,sw_l1,300221.XSHE,801030,化工I
3,sw_l1,688200.XSHG,801890,机械设备I
4,sw_l1,600609.XSHG,801880,汽车I
5,sw_l1,000885.XSHE,801170,交通运输I
6,sw_l1,000666.XSHE,801790,非银金融I
7,sw_l1,603899.XSHG,801140,轻工制造I
8,sw_l1,002671.XSHE,801710,建筑材料I
9,sw_l1,002518.XSHE,801730,电气设备I
10,sw_l1,000505.XSHE,801010,农林牧渔I
11,sw_l1,601077.XSHG,801780,银行I
12,sw_l1,300380.XSHE,801750,计算机I
13,sw_l1,003040.XSHE,801770,通信I
14,sw_l1,688088.XSHG,801750,计算机I
15,sw_l1,688215.XSHG,801890,机械设备I
16,sw_l1,002952.XSHE,801080,电子I
17,sw_l1,603076.XSHG,801890,机械设备I
18,sw_l1,000766.XSHE,801150,医药生物I
19,sw_l1,600143.XSHG,801030,化工I
20,sw_l1,600169.XSHG,801890,机械设备I
21,sw_l1,300256.XSHE,801080,电子I
22,sw_l1,300091.XSHE,801890,机械设备I
23,sw_l1,002490.XSHE,801890,机械设备I
24,sw_l1,000012.XSHE,801710,建筑材料I
25,sw_l1,300404.XSHE,801150,医药生物I
26,sw_l1,300486.XSHE,801890,机械设备I
27,sw_l1,600830.XSHG,801790,非银金融I
28,sw_l1,601236.XSHG,801790,非银金融I
29,sw_l1,603038.XSHG,801710,建筑材料I
30,sw_l1,603228.XSHG,801080,电子I
31,sw_l1,600580.XSHG,801730,电气设备I
32,sw_l1,688359.XSHG,801030,化工I
33,sw_l1,601186.XSHG,801720,建筑装饰I
34,sw_l1,000561.XSHE,801740,国防军工I
35,sw_l1,603611.XSHG,801890,机械设备I
36,sw_l1,000927.XSHE,801880,汽车I
37,sw_l1,000638.XSHE,801230,综合I
38,sw_l1,300108.XSHE,801150,医药生物I
39,sw_l1,688018.XSHG,801080,电子I
40,sw_l1,002036.XSHE,801080,电子I
41,sw_l1,688661.XSHG,801080,电子I
42,sw_l1,000637.XSHE,801030,化工I
43,sw_l1,603110.XSHG,801030,化工I
44,sw_l1,002116.XSHE,801720,建筑装饰I
45,sw_l1,600678.XSHG,801710,建筑材料I
46,sw_l1,300293.XSHE,801890,机械设备I
47,sw_l1,300962.XSHE,801230,综合I
48,sw_l1,600479.XSHG,801150,医药生物I
49,sw_l1,000036.XSHE,801180,房地产I
50,sw_l1,300801.XSHE,801030,化工I
51,sw_l1,300814.XSHE,801080,电子I
52,sw_l1,002506.XSHE,801730,电气设备I
53,sw_l1,000961.XSHE,801180,房地产I
54,sw_l1,002046.XSHE,801890,机械设备I
55,sw_l1,002090.XSHE,801730,电气设备I
56,sw_l1,002619.XSHE,801760,传媒I
57,sw_l1,603566.XSHG,801010,农林牧渔I
58,sw_l1,688285.XSHG,801890,机械设备I
59,sw_l1,002433.XSHE,801150,医药生物I
60,sw_l1,002267.XSHE,801160,公用事业I
61,sw_l1,688039.XSHG,801750,计算机I
62,sw_l1,000565.XSHE,801030,化工I
63,sw_l1,300742.XSHE,801880,汽车I
64,sw_l1,600052.XSHG,801760,传媒I
65,sw_l1,688613.XSHG,801150,医药生物I
66,sw_l1,300422.XSHE,801160,公用事业I
67,sw_l1,688588.XSHG,801750,计算机I
68,sw_l1,002368.XSHE,801750,计算机I
69,sw_l1,600022.XSHG,801040,钢铁I
70,sw_l1,300821.XSHE,801030,化工I
71,sw_l1,603701.XSHG,801880,汽车I
72,sw_l1,000540.XSHE,801180,房地产I
73,sw_l1,600306.XSHG,801200,商业贸易I
74,sw_l1,300897.XSHE,801890,机械设备I
75,sw_l1,605358.XSHG,801080,电子I
76,sw_l1,600568.XSHG,801180,房地产I
77,sw_l1,002286.XSHE,801010,农林牧渔I
78,sw_l1,300966.XSHE,801150,医药生物I
79,sw_l1,002386.XSHE,801030,化工I
80,sw_l1,600021.XSHG,801160,公用事业I
81,sw_l1,603612.XSHG,801050,有色金属I
82,sw_l1,000566.XSHE,801150,医药生物I
83,sw_l1,002767.XSHE,801730,电气设备I
84,sw_l1,000157.XSHE,801890,机械设备I
85,sw_l1,600396.XSHG,801160,公用事业I
86,sw_l1,300673.XSHE,801010,农林牧渔I
87,sw_l1,300648.XSHE,801890,机械设备I
88,sw_l1,300698.XSHE,801770,通信I
89,sw_l1,601975.XSHG,801170,交通运输I
90,sw_l1,002453.XSHE,801030,化工I
91,sw_l1,603838.XSHG,801140,轻工制造I
92,sw_l1,603803.XSHG,801770,通信I
93,sw_l1,000048.XSHE,801180,房地产I
94,sw_l1,601016.XSHG,801160,公用事业I
95,sw_l1,600310.XSHG,801160,公用事业I
96,sw_l1,600360.XSHG,801080,电子I
97,sw_l1,688600.XSHG,801890,机械设备I
98,sw_l1,688668.XSHG,801770,通信I
99,sw_l1,002422.XSHE,801150,医药生物I
100,sw_l1,300483.XSHE,801890,机械设备I
101,sw_l1,605123.XSHG,801740,国防军工I
102,sw_l1,300889.XSHE,801080,电子I
103,sw_l1,002232.XSHE,801750,计算机I
104,sw_l1,300899.XSHE,801160,公用事业I
105,sw_l1,300160.XSHE,801110,家用电器I
106,sw_l1,002354.XSHE,801760,传媒I
107,sw_l1,605338.XSHG,801120,食品饮料I
108,sw_l1,300972.XSHE,801010,农林牧渔I
109,sw_l1,600630.XSHG,801130,纺织服装I
110,sw_l1,603533.XSHG,801760,传媒I
111,sw_l1,300891.XSHE,801030,化工I
112,sw_l1,603313.XSHG,801140,轻工制造I
113,sw_l1,688385.XSHG,801080,电子I
114,sw_l1,300536.XSHE,801720,建筑装饰I
115,sw_l1,300181.XSHE,801150,医药生物I
116,sw_l1,603967.XSHG,801170,交通运输I
117,sw_l1,600562.XSHG,801740,国防军工I
118,sw_l1,300910.XSHE,801030,化工I
119,sw_l1,002237.XSHE,801050,有色金属I
120,sw_l1,688199.XSHG,801030,化工I
121,sw_l1,300991.XSHE,801080,电子I
122,sw_l1,002053.XSHE,801030,化工I
123,sw_l1,601399.XSHG,801890,机械设备I
124,sw_l1,688513.XSHG,801150,医药生物I
125,sw_l1,300370.XSHE,801890,机械设备I
126,sw_l1,600277.XSHG,801030,化工I
127,sw_l1,688036.XSHG,801080,电子I
128,sw_l1,600829.XSHG,801150,医药生物I
129,sw_l1,600935.XSHG,801030,化工I
130,sw_l1,300841.XSHE,801150,医药生物I
131,sw_l1,002686.XSHE,801890,机械设备I
132,sw_l1,603117.XSHG,801170,交通运输I
133,sw_l1,688766.XSHG,801080,电子I
134,sw_l1,300308.XSHE,801770,通信I
135,sw_l1,300951.XSHE,801080,电子I
136,sw_l1,002998.XSHE,801030,化工I
137,sw_l1,000977.XSHE,801750,计算机I
138,sw_l1,002884.XSHE,801890,机械设备I
139,sw_l1,002411.XSHE,801150,医药生物I
140,sw_l1,600466.XSHG,801180,房地产I
141,sw_l1,600623.XSHG,801030,化工I
142,sw_l1,600321.XSHG,801710,建筑材料I
143,sw_l1,600084.XSHG,801120,食品饮料I
144,sw_l1,603912.XSHG,801890,机械设备I
145,sw_l1,603356.XSHG,801890,机械设备I
146,sw_l1,300222.XSHE,801890,机械设备I
147,sw_l1,000756.XSHE,801150,医药生物I
148,sw_l1,002640.XSHE,801200,商业贸易I
149,sw_l1,300810.XSHE,801740,国防军工I
150,sw_l1,000338.XSHE,801880,汽车I
151,sw_l1,688027.XSHG,801770,通信I
152,sw_l1,000926.XSHE,801180,房地产I
153,sw_l1,002180.XSHE,801750,计算机I
154,sw_l1,603316.XSHG,801720,建筑装饰I
155,sw_l1,688386.XSHG,801880,汽车I
156,sw_l1,002531.XSHE,801730,电气设备I
157,sw_l1,300660.XSHE,801730,电气设备I
158,sw_l1,000718.XSHE,801180,房地产I
159,sw_l1,300103.XSHE,801890,机械设备I
160,sw_l1,688363.XSHG,801150,医药生物I
161,sw_l1,001213.XSHE,801170,交通运输I
162,sw_l1,300820.XSHE,801730,电气设备I
163,sw_l1,603260.XSHG,801050,有色金属I
164,sw_l1,002170.XSHE,801030,化工I
165,sw_l1,002714.XSHE,801010,农林牧渔I
166,sw_l1,002276.XSHE,801730,电气设备I
167,sw_l1,002169.XSHE,801730,电气设备I
168,sw_l1,300139.XSHE,801080,电子I
